2025-05-30T17:18:50.636+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'operationBuilder' via factory method to bean named 'parameterBuilder'
2025-05-30T17:18:50.636+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'operationBuilder' via factory method to bean named 'requestBodyBuilder'
2025-05-30T17:18:50.636+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'operationBuilder' via factory method to bean named 'securityParser'
2025-05-30T17:18:50.636+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'operationBuilder' via factory method to bean named 'propertyResolverUtils'
2025-05-30T17:18:50.637+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'genericReturnTypeParser'
2025-05-30T17:18:50.637+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'springDocProviders'
2025-05-30T17:18:50.638+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'routerFunctionProvider'
2025-05-30T17:18:50.638+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springdoc.webmvc.core.configuration.SpringDocWebMvcConfiguration$SpringDocWebMvcRouterConfiguration'
2025-05-30T17:18:50.639+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'springDocProviders' via factory method to bean named 'springdocObjectMapperProvider'
2025-05-30T17:18:50.641+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'springDocCustomizers'
2025-05-30T17:18:50.645+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springdoc.core.configuration.SpringDocSecurityConfiguration$SpringSecurityLoginEndpointConfiguration'
2025-05-30T17:18:50.646+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springdoc.core.configuration.SpringDocSecurityConfiguration'
2025-05-30T17:18:50.650+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springdoc.core.configuration.SpringDocSecurityConfiguration$SpringSecurityLoginEndpointConfiguration' via constructor to bean named 'org.springdoc.core.configuration.SpringDocSecurityConfiguration'
2025-05-30T17:18:50.651+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springdoc.core.configuration.SpringDocUIConfiguration'
2025-05-30T17:18:50.652+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'openApiResource'
2025-05-30T17:18:50.652+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'requestBuilder'
2025-05-30T17:18:50.653+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'requestBuilder' via factory method to bean named 'parameterBuilder'
2025-05-30T17:18:50.653+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'requestBuilder' via factory method to bean named 'requestBodyBuilder'
2025-05-30T17:18:50.653+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'requestBuilder' via factory method to bean named 'operationBuilder'
2025-05-30T17:18:50.653+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'requestBuilder' via factory method to bean named 'localSpringDocParameterNameDiscoverer'
2025-05-30T17:18:50.654+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'responseBuilder'
2025-05-30T17:18:50.654+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'responseBuilder' via factory method to bean named 'operationBuilder'
2025-05-30T17:18:50.654+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'responseBuilder' via factory method to bean named 'genericReturnTypeParser'
2025-05-30T17:18:50.654+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'responseBuilder' via factory method to bean named 'org.springdoc.core.properties.SpringDocConfigProperties'
2025-05-30T17:18:50.654+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'responseBuilder' via factory method to bean named 'propertyResolverUtils'
2025-05-30T17:18:50.655+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'openApiResource' via factory method to bean named 'requestBuilder'
2025-05-30T17:18:50.655+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'openApiResource' via factory method to bean named 'responseBuilder'
2025-05-30T17:18:50.656+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'openApiResource' via factory method to bean named 'operationBuilder'
2025-05-30T17:18:50.656+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'openApiResource' via factory method to bean named 'org.springdoc.core.properties.SpringDocConfigProperties'
2025-05-30T17:18:50.656+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'openApiResource' via factory method to bean named 'springDocProviders'
2025-05-30T17:18:50.656+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'openApiResource' via factory method to bean named 'springDocCustomizers'
2025-05-30T17:18:50.657+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'swaggerConfigResource'
2025-05-30T17:18:50.658+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'swaggerConfigResource' via factory method to bean named 'swaggerWelcome'
2025-05-30T17:18:50.658+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.aop.AopAutoConfiguration$AspectJAutoProxyingConfiguration$CglibAutoProxyConfiguration'
2025-05-30T17:18:50.658+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.aop.AopAutoConfiguration$AspectJAutoProxyingConfiguration'
2025-05-30T17:18:50.658+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.aop.AopAutoConfiguration'
2025-05-30T17:18:50.659+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.availability.ApplicationAvailabilityAutoConfiguration'
2025-05-30T17:18:50.659+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'applicationAvailability'
2025-05-30T17:18:50.660+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.transaction.jta.JtaAutoConfiguration'
2025-05-30T17:18:50.660+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jdbc.metadata.DataSourcePoolMetadataProvidersConfiguration'
2025-05-30T17:18:50.660+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jdbc.DataSourceAutoConfiguration'
2025-05-30T17:18:50.660+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.transaction.TransactionManagerCustomizationAutoConfiguration'
2025-05-30T17:18:50.661+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'platformTransactionManagerCustomizers'
2025-05-30T17:18:50.661+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'transactionExecutionListeners'
2025-05-30T17:18:50.662+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'spring.transaction-org.springframework.boot.autoconfigure.transaction.TransactionProperties'
2025-05-30T17:18:50.663+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$PersistenceManagedTypesConfiguration'
2025-05-30T17:18:50.663+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'transactionManager'
